InChI,Cdk.LargestPiSystem.nAtomP,Cdk.BondCount.nB,Cdk.LargestChain.nAtomLC,Cdk.AromaticAtomsCount.naAromAtom,Cdk.AromaticBondsCount.nAromBond,Cdk.ALOGP.ALogP,Cdk.RotatableBondsCount.nRotB,Cdk.MannholdLogP.MLogP,Cdk.XLogP.XLogP,Cdk.RuleOfFive.LipinskiFailures,Cdk.ALOGP.ALogp2,Cdk.ALOGP.AMR,Cdk.LongestAliphaticChain.nAtomLAC,Cdk.HBondDonorCount.nHBDon,Cdk.AtomCount.nAtom
"InChI=1S/C10Cl10O/c11-2-1(21)3(12)6(15)4(2,13)8(17)5(2,14)7(3,16)9(6,18)10(8,19)20",1.0,25.0,0.0,0.0,0.0,4.4988,0.0,1.35,3.726,0.0,20.239201440000002,83.19979999999998,0.0,0.0,21.0
"InChI=1S/C10Cl12/c11-1-2(12)7(17)4(14)3(13,5(1,15)9(7,19)20)6(1,16)10(21,22)8(2,4)18",0.0,26.0,0.0,0.0,0.0,5.85,0.0,1.24,6.358000000000002,1.0,34.2225,92.35879999999999,0.0,0.0,22.0
"InChI=1S/C10H10N2/c11-9-5-1-3-7-8(9)4-2-6-10(7)12/h1-6H,11-12H2",12.0,13.0,0.0,10.0,11.0,-0.44560000000000055,0.0,2.34,0.13,0.0,0.1985593600000005,56.2524,0.0,2.0,22.0
"InChI=1S/C10H10O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h2,4-6H,1,3,7H2",8.0,13.0,3.0,6.0,6.0,1.0401999999999996,2.0,2.34,2.4710000000000005,0.0,1.0820160399999992,50.76499999999999,3.0,0.0,22.0
"InChI=1S/C10H10O3/c1-2-8(11)7-3-4-9-10(5-7)13-6-12-9/h2-5,8,11H,1,6H2",8.0,14.0,4.0,6.0,6.0,0.20830000000000032,2.0,2.23,0.847,0.0,0.04338889000000013,51.972899999999996,3.0,1.0,23.0
"InChI=1S/C10H12Cl2O2/c11-7-13-5-9-1-2-10(4-3-9)6-14-8-12/h1-4H,5-8H2",6.0,14.0,4.0,6.0,6.0,1.805600000000001,6.0,2.12,0.956,0.0,3.2601913600000034,61.8504,0.0,0.0,26.0
"InChI=1S/C10H12N2O4/c1-3-16-10-5-4-8(11-7(2)13)6-9(10)12(14)15/h4-6H,3H2,1-2H3,(H,11,13)",13.0,16.0,4.0,6.0,6.0,0.14329999999999957,4.0,1.9,1.5770000000000002,0.0,0.020534889999999875,57.33510000000001,2.0,1.0,28.0
"InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3,5-8H,1,4H2,2H3",7.0,11.0,3.0,6.0,6.0,1.7379000000000007,3.0,2.45,2.5150000000000006,0.0,3.0202964100000025,51.281000000000006,3.0,0.0,23.0
"InChI=1S/C10H12O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h4-6H,2-3,7H2,1H3",8.0,13.0,3.0,6.0,6.0,-0.16280000000000022,2.0,2.34,2.6480000000000006,0.0,0.026503840000000074,49.5389,3.0,0.0,24.0
"InChI=1S/C10H12O2/c1-3-10(11)8-4-6-9(12-2)7-5-8/h3-7,10-11H,1H2,2H3",7.0,12.0,4.0,6.0,6.0,0.9059999999999987,3.0,2.34,0.6800000000000003,0.0,0.8208359999999977,52.48890000000001,3.0,1.0,24.0
"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",10.0,13.0,4.0,6.0,6.0,0.6366999999999992,3.0,2.23,1.36,0.0,0.40538688999999895,55.12160000000001,2.0,1.0,26.0
"InChI=1S/C10H14N2O2/c1-3-14-10-5-4-8(6-9(10)11)12-7(2)13/h4-6H,3,11H2,1-2H3,(H,12,13)",11.0,14.0,4.0,6.0,6.0,-0.5600000000000002,3.0,2.12,0.8680000000000001,0.0,0.31360000000000016,58.67140000000001,2.0,2.0,28.0
"InChI=1S/C10H17Cl2NOS/c1-7(2)13(8(3)4)10(14)15-6-9(12)5-11/h5,7-8H,6H2,1-4H3",3.0,14.0,15.0,0.0,0.0,1.721200000000003,6.0,2.01,3.44,0.0,2.96252944000001,70.0039,3.0,0.0,32.0
"InChI=1S/C10H5Cl7/c11-4-2-1-3-5(4)9(15)7(13)6(12)8(3,14)10(9,16)17/h1-5H",2.0,19.0,0.0,0.0,0.0,4.032699999999999,0.0,1.79,3.5500000000000003,0.0,16.262669289999995,75.801,0.0,0.0,22.0
"InChI=1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2",2.0,20.0,0.0,0.0,0.0,4.2425999999999995,0.0,1.6800000000000002,4.355,0.0,17.999654759999995,78.1776,0.0,0.0,24.0
"InChI=1S/C10H8Cl8/c1-4-7(2-11,3-12)9(16)6(14)5(13)8(4,15)10(9,17)18/h5-6H,1-3H2",2.0,19.0,1.0,0.0,0.0,5.0479,2.0,1.6800000000000002,4.521000000000001,0.0,25.481294410000004,80.57239999999999,0.0,0.0,26.0
"InChI=1S/C10H8N4/c11-8-5-4-7-10(13-8)14-6-2-1-3-9(14)12-7/h1-6H,(H2,11,13)",14.0,16.0,0.0,5.0,5.0,-0.25390000000000007,0.0,2.12,1.763,0.0,0.06446521000000004,55.13159999999999,0.0,2.0,22.0
"InChI=1S/C10H9Cl4NO2S/c11-9(12)10(13,14)18-15-7(16)5-3-1-2-4-6(5)8(15)17/h1-2,5-6,9H,3-4H2",5.0,19.0,7.0,0.0,0.0,2.7237,3.0,1.6800000000000002,2.77,0.0,7.41854169,77.79789999999998,2.0,0.0,27.0
"InChI=1S/C10H9Cl4O4P/c1-16-19(15,17-2)18-10(5-11)6-3-8(13)9(14)4-7(6)12/h3-5H,1-2H3",13.0,19.0,10.0,6.0,6.0,2.735299999999999,5.0,1.57,3.2190000000000007,0.0,7.481866089999995,80.56290000000001,2.0,0.0,28.0
"InChI=1S/C10H9Cl7/c1-4-6(2,3)8(13)5(11)7(4,12)9(14,15)10(8,16)17/h5H,1H2,2-3H3",2.0,18.0,0.0,0.0,0.0,5.2136,0.0,1.79,4.353,0.0,27.181624959999997,76.4125,0.0,0.0,26.0
"InChI=1S/C10H9N/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,11H2",11.0,12.0,0.0,10.0,11.0,0.7511000000000003,0.0,2.45,1.6769999999999998,0.0,0.5641512100000005,52.702600000000004,0.0,1.0,20.0
"InChI=1S/C10H9N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,11H2",11.0,12.0,0.0,10.0,11.0,0.7511000000000003,0.0,2.45,1.4660000000000002,0.0,0.5641512100000005,52.702600000000004,0.0,1.0,20.0
"InChI=1S/C11H10N4/c1-15-9-5-4-8-7(3-2-6-13-8)10(9)14-11(15)12/h2-6H,1H3,(H2,12,14)",14.0,17.0,0.0,10.0,11.0,-0.1729000000000001,0.0,2.23,1.7429999999999999,0.0,0.029894410000000038,62.409699999999994,0.0,2.0,25.0
"InChI=1S/C11H10N4/c1-7-3-2-6-15-10(7)13-8-4-5-9(12)14-11(8)15/h2-6H,1H3,(H2,12,14)",14.0,17.0,0.0,5.0,5.0,0.2991999999999992,0.0,2.23,1.9440000000000002,0.0,0.08952063999999951,59.4887,0.0,2.0,25.0
